date_new,well_ft
2007-11-07-19,1.482
2007-11-07-20,1.482
2007-11-07-21,1.482
2007-11-07-22,1.482
2007-11-07-23,1.482
2007-11-08-00,1.472
2007-11-08-01,1.472
2007-11-08-02,1.462
2007-11-08-03,1.462
2007-11-08-04,1.462
2007-11-08-05,1.462
2007-11-08-06,1.462
2007-11-08-07,1.452
2007-11-08-08,1.452
2007-11-08-09,1.452
2007-11-08-10,1.452
2007-11-08-11,1.452
2007-11-08-12,1.442
2007-11-08-13,1.442
2007-11-08-14,1.432
2007-11-08-15,1.432
2007-11-08-16,1.422
2007-11-08-17,1.422
2007-11-08-18,1.422
2007-11-08-19,1.422
2007-11-08-20,1.422
2007-11-08-21,1.422
2007-11-08-22,1.422
2007-11-08-23,1.412
2007-11-09-00,1.412
2007-11-09-01,1.402
2007-11-09-02,1.402
2007-11-09-03,1.382
2007-11-09-04,1.372
2007-11-09-05,1.372
2007-11-09-06,1.372
2007-11-09-07,1.362
2007-11-09-08,1.362
2007-11-09-09,1.362
2007-11-09-10,1.362
2007-11-09-11,1.362
2007-11-09-12,1.362
2007-11-09-13,1.352
2007-11-09-14,1.352
2007-11-09-15,1.342
2007-11-09-16,1.332
2007-11-09-17,1.332
2007-11-09-18,1.322
2007-11-09-19,1.322
2007-11-09-20,1.322
2007-11-09-21,1.322
2007-11-09-22,1.312
2007-11-09-23,1.312
2007-11-10-00,1.312
2007-11-10-01,1.312
2007-11-10-02,1.302
2007-11-10-03,1.302
2007-11-10-04,1.292
2007-11-10-05,1.292
2007-11-10-06,1.292
2007-11-10-07,1.292
2007-11-10-08,1.292
2007-11-10-09,1.292
2007-11-10-10,1.292
2007-11-10-11,1.292
2007-11-10-12,1.282
2007-11-10-13,1.282
2007-11-10-14,1.282
2007-11-10-15,1.272
2007-11-10-16,1.262
2007-11-10-17,1.262
2007-11-10-18,1.252
2007-11-10-19,1.252
2007-11-10-20,1.252
2007-11-10-21,1.252
2007-11-10-22,1.252
2007-11-10-23,1.252
2007-11-11-00,1.242
2007-11-11-01,1.242
2007-11-11-02,1.232
2007-11-11-03,1.232
2007-11-11-04,1.212
2007-11-11-05,1.212
2007-11-11-06,1.212
2007-11-11-07,1.202
2007-11-11-08,1.202
2007-11-11-09,1.202
2007-11-11-10,1.202
2007-11-11-11,1.202
2007-11-11-12,1.202
2007-11-11-13,1.192
2007-11-11-14,1.192
2007-11-11-15,1.192
2007-11-11-16,1.172
2007-11-11-17,1.172
2007-11-11-18,1.172
2007-11-11-19,1.172
2007-11-11-20,1.162
2007-11-11-21,1.162
2007-11-11-22,1.152
2007-11-11-23,1.152
2007-11-12-00,1.152
2007-11-12-01,1.152
